iter	Passed	Remaining
0	324	237661
1	446	163291
2	544	132598
3	682	124403
4	803	116987
5	905	109726	6	1028	10669277	1138	103138	8	1232	99149	9	1321	910	1310	1458	95729
11	1569	94274
12	1696	93955
13	1777	91282
14	1889	90448
15	1989	89139
16	2087	87899
17	2210	87818
18	2324	87363
19	2405	85750
20	2523	85545
21	2619	84647
22	2737	84513
23	2882	85151
24	2987	84611
25	3091	84065
26	3190	83414
27	3268	82284
28	3372	81875
29	3492	81842
30	3595	81413
31	3698	81024
32	3775	80079
33	3865	79475
34	3948	78735
35	4070	78817
36	4164	78343
37	4277	78235
38	4391	78150
39	4493	77858
40	4606	77747
41	4736	77926
42	4821	77361
43	4940	77363
44	5023	76804
45	5162	77099
46	5287	77178
47	5378	76754
48	5470	76358
49	5552	75845
50	5673	75863
51	5764	75488
52	5862	75214
53	5949	74809
54	6049	74572
55	6130	74114
56	6238	73983
57	6332	73694
58	6472	73938
59	6596	73990
60	6685	73654
61	6792	73510
62	6898	73363
63	7022	73408
64	7114	73118
65	7203	72798
66	7312	72686
67	7411	72482
68	7546	72617
69	7648	72442
70	7761	72365
71	7849	72062
72	7927	71668
73	8036	71569
74	8165	71634
75	8266	71463
76	8361	71235
77	8455	71003
78	8560	70868
79	8667	70746
80	8728	70259
81	8828	70087
82	8901	83	89583	9042	69863
84	9135	69645
85	9246	69567
86	9357	69479
87	9447	69248
88	9550	69104
89	9622	68748
90	9736	68688
91	9828	68475
92	9925	68303
93	10034	68212
94	10140	68104
95	10226	67857
96	10326	97	10397	10438	98	10498	10564	67655
99	10669	67537
100	10750	101	10101	10860	102	10102	10942	103	10103	11052	104	11104	11194	66954
105	11308	66893
106	11419	66807
107	11526	66706
108	11606	66444
109	11719	66373
110	11815	66207
111	11876112	119112	11974113	120113	12054114	121114	12181115	122115	12291116	123116	12411117	124117	12525118	126118	12619119	126119	12749120	128120	12857121	129121	12983122	130122	13119123	131123	13237124	132124	13320125	134125	13439126	135126	13562127	13677	64645
128	13791	64574
129	13925	64593
130	14037	64508
131	141131	14115132	142132	14249133	143133	14354134	144134	14452135	145135	14580136	146136	14685137	147137	14823	63914
138	14925	63781
139	15029	63661
140	15145	63589
141	15235142	152142	15319143	153143	15408144	155144	15523145	156145	15653146	157146	15741147	158147	15855148	159148	15983149	160149	16070150	161150	16173151	162151	16259152	163152	16387153	164153	16491154	165154	16551155	166155	16670156	16803	61646
157	169157	16922158	169158	17012159	170159	17087160	172160	17211161	172161	17304162	173162	17376163	174163	17463164	175164	17578165	176165	17672166	177166	17775167	178167	17871168	179168	17945169	180169	18075170	18163	59695
171	182171	18269172	18382	59502
173	18477	59363
174	18608	59334
175	18700	59183
176	18795	59042
177	18909	58959
178	19008	58829
179	19111	58714
180	19243	58686
181	19349	58579
182	19456	58475
183	19550	58332
184	19645	58193
185	19766	58130
186	19852	57964
187	19962	57868
188	20047	57704
189	20156	57605
190	20256	57480
191	20394	57466
192	20503	57366
193	20615	57276
194	20735	57208
195	20839	57095
196	20923	56929
197	21049	56876
198	21135	56715
199	21247	56623
200	21371	56565
201	21498	56512
202	21607	56414
203	21723	56331
204	21843	56259
205	21935	56115
206	22037	55998
2207	22097	557752208	22186	55624209	22354	55672
210	22455	55552
211	22559	55440
212	22672	55350
213	22795	55284
214	22903	55180
215	23002	55056
216	23112	54957
217	23200	54807
218	23283	54646
219	23428	54631
220	23530	54513
221	23639	54414
222	23725	54261
223	23786	54050
224	23894	53948
225	23996	53833
226	24100	53720
227	24190	53579
228	24306	53494
229	24459	53490
230	24555	53363
231	24695	53329
232	24792	53202
233	24915	53132
234	25042	53068
235	25154	52974
236	25269	52885
237	25371	52767
238	25478	52663
239	25547	52479
240	25659	52383
241	25790	52327
242	25906	52239
243	26022	52150
244	26136	52059
245	26213	51894
246	26331	51809
247	26406	51641
248	26516	51542
249	26626	51443
250	26724	51320
251	26831	51214
252	26937	51107
253	27029	50973
254	27124	50845
255	27247	50770
256	27383	50717
257	27501	50633
258	27583	50481
259	27697	50388
260	27783	50245
261	27889	50136
262	28016	50067
263	28115	49947
264	28265	49918
265	28393	49848
266	28497	49737
267	28608	49637
268	28705	49514
269	28805	49395
270	28906	49279
271	29009	49166
272	29113	49056
273	29183	48888
274	29288	48778
275	29395	48673
276	29514	48587
277	29596	48439
278	29711	48347
279	29818	48241
280	29922	48131
281	30021	48013
282	30153	47947
283	30269	47855
284	30402	47791
285	30505	47677
286	30591	47539
287	306287	30714288	30782	47292
289	30876	47166
290	309290	31045291	310291	31130292	311292	31212293	312293	31330294	31450	46695
295	31534	46556
296	31632	46437
297	317297	31754298	318298	31861299	319299	31983300	319300	32078301	320301	32220302	322302	32350	45909
303	32419304	324304	32518305	324305	32636	45541
306	32734307	326307	32842	45318
308	32977	45251
309	33089	45151
310	33206	45057
311	33325	44967
312	33442	44875
313	33529	44741
314	33640	44640
315	33768	44560
316	33893	44477
317	33996	44366
318	34107	44264
319	34240	44191
320	34357	44097
321	34453	43976
322	34575	43888
323	34725	43835
324	34797	43684
325	34913	43588
326	35008	43466
327	35132	43379
328	35237	43270
329	35335	43152
330	35456	43061
331	35555	42945
332	35676	42854
333	35753	42711
334	35837	42576
335	35960	42489
336	36064	42378
337	36185	42288
338	36281	42168
339	36394	42068
340	36473	41928
341	36582	41823
342	36692	41719
343	36808	41623
344	36950	41555
345	37020	41406
346	37130	41304
347	37245	41205
348	37322	41065
349	37417	40945
350	37499	40811
351	37625	40725
352	37750	40638
353	37855	40528
354	37963	40422
355	38068	40314
356	38175	40206
357	38251	40068
358	38349	39952
359	38416	39803
360	38504	39677
361	38585	39544
362	38706	39453
363	38782	39315
364	38873	39193
365	39012	39119
366	39133	39027
367	39206	38887
368	39301	38768
369	39392	38647
370	39476	38518
371	39588	38418
372	39666	38284
373	39764374	397374	39862375	398375	39942376	398376	40032377	400377	40125378	401378	40214379	402379	40278380	40331	37261
381	404381	40536382	405382	40638383	406383	40723384	407384	40845	36919
385	40948	36811
386	41111	36756
387	41182388	411388	41264389	412389	41347390	413390	41468391	414391	41544392	415392	41665393	416393	41763	35933
394	41873	35830
395	41981	35727
396	42089	35622
397	42197	35518
398	42315	35422
399	42416	35311
400	42530401	424401	42636402	425402	42753	35009
403	42836	34883
404	42974	34804
405	43079	34696
406	43179407	431407	43299408	432408	43410409	433409	43520	34285
410	43609	34165
411	43715	34060
412	43819413	437413	43933414	438414	44050	33754
415	44165	33655
416	44266417	442417	44350418	443418	44443419	44457	33131
420	44570	33031
421	44676	32924
422	44815	32843
423	44930	32743
424	45039	32640
425	45132	32524
426	45209	32398
427	45311	32289
428	45407	32176
429	45514	32071
430	45642	31981
431	45727	31861
432	45819	31745
433	45940	31649
434	46082	31568
435	46199	31470
436	46320	31375
437	46420	31265
438	46543	31170
439	46669	31077
440	46786	30978
441	46909	30883
442	47013	30776
443	47103	30659
444	47236	30571
445	47359	30475
446	47425	30343
447	47523	30232
448	47613	30116
449	47703	30000
450	47804	29891
451	47899	29778
452	47979	29656
453	48066	29538
454	48190	29444
455	48288	29333
456	48383	29220
457	48483	29111
458	48572	28995
459	48629	28860
460	48750	28763
461	48845	28651
462	48930	28534
463	49021	28420
464	49159	28332
465	49274	28232
466	49380	28126
467	49457	28004
468	49542	27887
469	49648	27781
470	49811	27708
471	49892	27589
472	49982	27474
473	50107	27379
474	50257	27297
475	50348	27183
476	50456	27079
477	50564	26974
478	50663	26865
479	50763	26756
480	50878	26655
481	50962	26538
482	51079	26438
483	51192	26336
484	51333	26249
485	51445	26146
486	51570	26049
487	51680	25946
488	51791	25842
489	51905	25741
490	51966	25612
491	52052	25497
492	52122	25374
493	52218	25263
494	52329	25160
495	52426	25050
496	52553	24954
497	52654	24847
498	52749	24736
499	52868	24636
500	52968	24528
501	53064	24418
502	53167	24311
503	53244	24192
504	53298	24063
505	53440	23974
506	53547	23869
507	53638	23757
508	53755	23656
509	53828	23536
510	53920	23425
511	54039	23325
512	54140	23217
513	54243	23111
514	54373	23016
515	54503	22920
516	54594	22809
517	54690	22699
518	54820	22604
519	54923	22497
520	55023	22389
521	55111	22276
522	55196	22163
523	55273	22046
524	55395	21947
525	55483	21834
526	55620	21741
527	55698	21625
528	55819	21525
529	55924	21420
530	56026	21313
531	56105	21197
532	56210	21091
533	56329	20991
534	56427	20883
535	56539	20780
536	56656	20679
537	56773	20577
538	56892	20476
539	56987	20367
540	57107	20267
541	57236	20170
542	57346	20066
543	57420	19949
544	57540	19848
545	57658	19747
546	57726	19628
547	57811	19516
548	57858	19391
549	57989	19294
550	58109	19194
551	58201	19084
552	58351	18993
553	58449	18885
554	58568	18784
555	58670	18677
556	58782	18574
557	58882	18466
558	58958	18352
559	59074	18249
560	59167	18140
561	59263	18032
562	59339	17917
563	59434	17809
564	59509	17694
565	59650	17600
566	59770	17498
567	59853	17386
568	59938	17275
569	60019	17163
570	60107	17053
571	60192	16942
572	60282	16832
573	60372	16723
574	60441	16608
575	60536	16500
576	60609	16386
577	60696	16276
578	60809	16173
579	60931	16073
580	61029	15966
581	61114	15856
582	61192	15744
583	61303	15640
584	61397	15533
585	61497	15426
586	61576	15315
587	61661	15205
588	61751	15097
589	61842	14988
590	61931	14880
591	62028	14773
592	62100	14661
593	62187	14552
594	62271	14442
595	62350	14332
596	62416	14218
597	62501	14109
598	62573	13998
599	62663	13890
600	62738	13779
601	62819	13669
602	62907	13562
603	62982	13451
604	63047	13339
605	63153	13235
606	63256	13130
607	63343	13022
608	63442	12917
609	63538	12811
610	63669	12713
611	63726	12599
612	63842	12497
613	63928	12390
614	64028	12285
615	64111	12177
616	64205	12071
617	64269	11959
618	64354	11852
619	64431	11743
620	64518	11636
621	64600	11528
622	64677	11419
623	64716	11304
624	64821	11201
625	64903	11093
626	64982	10985
627	65058	10877
628	65127	10768
629	65197	10659
630	65265	10549
631	65333	10440
632	65389	10330
633	65456	10221
634	65515	10111
635	65574	10001
636	65646	9893
637	65712	9784
638	65778	9676
639	65824	9565
640	65886	9456
641	65960	9349
642	66035	9242
643	66105	9135
644	66157	9026
645	66232	8919
646	66307	8813
647	66376	8706
648	66445	8600
649	66502	8491
650	66548	8382
651	66634	8278
652	66717	8173
653	66761	8064
654	66830	7958
655	66901	7852
656	66970	7746
657	67033	7640
658	67103	7535
659	67183	7430
660	67248	7325
661	67306	7218
662	67368	7112
663	67432	7007
664	67515	6903
665	67576	6798
666	67647	6693
667	67717	6589
668	67769	6483
669	67843	6379
670	67889	6272
671	67955	6168
672	68002	6062
673	68073	5958
674	68131	5854
675	68199	5750
676	68266	5646
677	68332	5543
678	68379	5438
679	68428	5333
680	68472	5228
681	68531	5124
682	68575	5020
683	68636	4916
684	68683	4812
685	68730	4708
686	68772	4604
687	68807	4500
688	68846	4396
689	68890	4293
690	68945	4190
691	68985	4087
692	69029	3984
693	69085	3882
694	69136	3780
695	69177	3677
696	69227	3575
697	69272	3473
698	69326	3372
699	69363	3269
700	69410	3168
701	69442	3066
702	69486	2965
703	69531	2864
704	69570	2763
705	69629	2662
706	69676	2562
707	69719	2461
708	69740	2360
709	69775	2260
710	69812	2160
711	69839	2059
712	69870	1959
713	69897	1860
714	69928	1760
715	69958	1661
716	69984	1561
717	70006	1462
718	70026	1363
719	70049	1264
720	70069	1166
721	70093	1067
722	70121	969
723	70149	872
724	70171	774
725	70195	676
726	70217	579
727	70239	482
728	70260	385
729	70276	288
730	70294	192
731	70310	96
732	70322	0
424	0
